feature,feature_family,source_column,transformation,temporal_status,leakage_status,included,reason
category__Co-op,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Color Alternatives,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Commentary available,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Cross-Platform Multiplayer,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Custom Volume Controls,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__DualSense Controller Support,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__DualShock Controller Support,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Family Sharing,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Full controller support,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Gamepad Recommended,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__In-App Purchases,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Includes level editor,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Keyboard Only Option,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__LAN Co-op,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__LAN PvP,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__MMO,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Mouse Only Option,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Multi-player,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Online Co-op,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Online PvP,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Partial Controller Support,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Playable without Timed Input,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__PvP,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Remote Play Together,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Remote Play on Phone,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Remote Play on TV,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Remote Play on Tablet,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Save Anytime,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Shared/Split Screen,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Shared/Split Screen Co-op,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Shared/Split Screen PvP,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Single-player,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Stats,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Steam Achievements,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Steam Cloud,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Steam Leaderboards,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Steam Workshop,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Stereo Sound,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Subtitle Options,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Surround Sound,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Touch Only Option,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Tracked Controller Support,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__VR Only,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__VR Support,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__VR Supported,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
platform__windows,platform,windows/mac/linux,boolean -> int,A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
platform__mac,platform,windows/mac/linux,boolean -> int,A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
platform__linux,platform,windows/mac/linux,boolean -> int,A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
timing__release_month_sin,release_timing,release_date,"month sin/cos, quarter",A: stable descriptive metadata (structural),"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
timing__release_month_cos,release_timing,release_date,"month sin/cos, quarter",A: stable descriptive metadata (structural),"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
timing__release_quarter,release_timing,release_date,"month sin/cos, quarter",A: stable descriptive metadata (structural),"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
devpub__developer_prior_release_count,developer_publisher,developers/publishers + release_date (full raw catalog),"point-in-time prior-release count (strict <), max over multi-credit games",C: point-in-time engineered history,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
devpub__developer_has_prior_release,developer_publisher,developers/publishers + release_date (full raw catalog),"point-in-time prior-release count (strict <), max over multi-credit games",C: point-in-time engineered history,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
devpub__publisher_prior_release_count,developer_publisher,developers/publishers + release_date (full raw catalog),"point-in-time prior-release count (strict <), max over multi-credit games",C: point-in-time engineered history,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
devpub__publisher_has_prior_release,developer_publisher,developers/publishers + release_date (full raw catalog),"point-in-time prior-release count (strict <), max over multi-credit games",C: point-in-time engineered history,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
price__current_price,price,price,train-median imputation + missing flag,"B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
price__current_price_missing,price,price,train-median imputation + missing flag,"B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
price__is_free,price,price,train-median imputation + missing flag,"B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
store__about_description_length,store_metadata_stable,name/about_the_game/genres/categories,length / count,A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
store__title_length,store_metadata_stable,name/about_the_game/genres/categories,length / count,A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
store__n_genres,store_metadata_stable,name/about_the_game/genres/categories,length / count,A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
store__n_categories,store_metadata_stable,name/about_the_game/genres/categories,length / count,A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
store__achievements,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
store__achievements_missing,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
store__supported_languages_count,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__2D,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__2D Platformer,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__3D,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__3D Platformer,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Action,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Action RPG,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Action-Adventure,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Adventure,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
