target_candidate,feature,relationship,leakage_risk,recommended_action,reason
total_reviews cohort-percentile (visibility),packages,current storefront structure,moderate,exclude,Reflects present-day bundle/pricing structure rather than launch-time offer
total_reviews cohort-percentile (visibility),steam_store_available,current listing status,high,exclude,"Reflects present-day availability, not launch state; a delisted game reads False regardless of its actual historical performance, and delisting can itself be a downstream symptom of failure -- a leakage-adjacent proxy"
total_reviews cohort-percentile (visibility),steam_spy_available,constant field,none (unusable),exclude,Constant True for all 139076 rows in this snapshot; no discriminative value regardless of leakage
total_reviews cohort-percentile (visibility),genres,static descriptive metadata,low,include,"Set at/near launch; two mixed serialization formats normalized via src/audit_utils.py; multi-label, safe as a predictor"
total_reviews cohort-percentile (visibility),categories,static descriptive metadata,low,include,Same normalization and safety profile as genres
total_reviews cohort-percentile (visibility),tags,community/SteamSpy tags,low-moderate,use with caution,Can shift after launch as players tag the game (Phase 1); 55624 rows have zero tags -- usable but document as not strictly launch-fixed
total_reviews cohort-percentile (visibility),developers (identity),static descriptive metadata,low,include,Which studio made the game is known at launch; safe as a categorical identity feature (e.g. one-hot / frequency-encoded with care -- see next row)
total_reviews cohort-percentile (visibility),developers -- track-record aggregate (e.g. developer's total game count),derived feature computed over the full dataset,high,exclude unless chronologically constructed,"Diagnostic in Phase 3 notebook: for developers with >=2 games, a naive full-catalog 'developer game count' feature averages 13.5 games per row vs. a true chronological prior-only count of 6.75 -- 73.9% of rows would leak future release information. Must be rebuilt using only releases strictly before the target game's release_date if used at all"
total_reviews cohort-percentile (visibility),publishers (identity),static descriptive metadata,low,include,Same safety profile as developers identity
total_reviews cohort-percentile (visibility),publishers -- track-record aggregate,derived feature computed over the full dataset,high,exclude unless chronologically constructed,Same leakage mechanism and required fix as the developer track-record aggregate above
total_reviews cohort-percentile (visibility),release_date / release_year,defines the cohort itself,none (structural),"include (as cohort key, not as a leak)","Used to compute the cohort-relative target, not predictive of it in a leaking sense; release timing (e.g. release month/seasonality) may be used as a legitimate predictor"
total_reviews cohort-percentile (visibility),windows / mac / linux,static platform metadata,low,include,Platform support normally set at launch (Phase 1); safe as a predictor
total_reviews cohort-percentile (visibility),supported_languages,ambiguous timing,low,use with caution,Can expand post-launch as localizations are added (Phase 1); mostly safe but not guaranteed launch-fixed
total_reviews cohort-percentile (visibility),full_audio_languages,ambiguous timing,low,use with caution,Same rationale as supported_languages
total_reviews cohort-percentile (visibility),short_description / about_the_game / detailed_description,static descriptive metadata,low,include (metadata only -- no NLP in this phase),Store copy set at/near launch; usable for simple structured features (e.g. length) but text/embedding modeling is out of scope through Phase 3
total_reviews cohort-percentile (visibility),notes,static sparse metadata,low,include,81.3% missing; low-signal but not a leakage risk
total_reviews cohort-percentile (visibility),header_image / screenshots / movies / website / support_url / support_email / metacritic_url,store asset / contact URLs,none (unusable),exclude,Not modeling features (Phase 1 audit); no leakage relevance either way
positive_ratio (reception -- descriptive/association only),total_reviews,defines eligibility for computing the ratio at all,structural,n/a -- not modeled as a supervised target in Phase 3,"Reception is recommended for descriptive/association analysis only, not supervised prediction, in this phase -- see decision rationale in outputs/phase3_success_definition.md. Requiring >=10 reviews to even compute the ratio means any model of reception is implicitly conditioned on already having achieved a level of popularity, which is itself a selection-on-outcome problem distinct from ordinary leakage"
positive_ratio (reception -- descriptive/association only),positive / negative,directly constructs the ratio,critical,exclude if ever modeled,Same logic as the visibility target's own components
